No,University Name,Country,Location,World Ranking,Field of Study,Program Name,Mode of Study,Duration,Tuition Fees,Scholarships/Financial Aid,GPA,Grade Requirements,Standardized Tests (Processed),Language Requirements,Other Requirements,Source URL,Raw Text Snippet,Last Crawled Date,Standardized Language Requirements,English_Proficiency_Rating
11,University of Illinois Chicago,USA,"Chicago, Illinois",QS #268,IT,BS Computer Science & Linguistics,Campus,4 years,"$31,500–33,000 / year",Yes,2.5,Prereqs: specified course  requirements (eg minimally one C and one B in MATH  and CS ; avg math/science/engineering  / for consideration),No,TOEFL iBT 80 / IELTS 6.5.,Program requires meeting both CS and linguistics prerequisite grades.,https://ling.uic.edu/programs/acad/bs-cs-ling/,In order to be considered … Minimally one C and one B in MATH 180 and CS 111 … B in LING 150 … average math/science/engineering GPA of 2.50/4.00 …,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
12,University of Illinois Chicago,USA,"Chicago, Illinois",QS #268,Business,"Bachelor of Business Administration (BBA) / Business majors (Accounting, Finance, Marketing)",Campus,4 years,"$29,900–30,500 / year",Yes (college scholarships & aid),3,Recommended ~  for strong application; admissions consider multiple factors,No,TOEFL iBT 80 / IELTS 6.5.,"Personal statement/essay, extracurriculars; some completion programs available.",https://catalog.uic.edu/ucat/colleges-depts/business-administration/,The undergraduate program provides students with the skills necessary for a successful career in business...,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
13,University of Illinois Chicago,USA,"Chicago, Illinois",QS #268,Medicine,BS Biological Sciences (common pre-med),Campus,4 years,"$29,900–30,500 / year",Yes (some departmental scholarships),3,Varies by major; pre-med applicants typically maintain strong science  (no single cutoff),No,TOEFL iBT 80 / IELTS 6.5.,Pre-Medicine advising; must complete prerequisites in bio/chem/physics/social/behavioral sciences.,https://catalog.uic.edu/ucat/colleges-depts/liberal-arts-sciences/preprofessional-studies/pre-med/,"Pre-medicine students may choose any major, but should work with a pre-health advisor to plan a course of study...",02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
14,University of Illinois Chicago,USA,"Chicago, Illinois",QS #268,Medicine,BS Biochemistry,Campus,4 years,"$29,900–30,500 / year",Yes,3,Strong  expected for students aiming for med school,No,TOEFL iBT 80 / IELTS 6.5.,Biochemistry major commonly taken by pre-med students.,https://catalog.uic.edu/ucat/colleges-depts/las/biochemistry/,Biochemistry - BS (catalog),02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
15,University of Illinois Chicago,USA,"Chicago, Illinois",QS #268,Medicine,BS Integrated Health Sciences,Campus,4 years,"$29,900–30,500 / year",Yes,3,Varies by major; pre-health advising recommended,No,TOEFL iBT 80 / IELTS 6.5.,Integrates health sciences coursework; used by many pre-med students.,https://catalog.uic.edu/ucat/colleges-depts/ahs/ihs/,Integrated Health Sciences - BS (catalog),02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
16,"University of California, Irvine",USA,"Irvine, California",QS #307,Engineering,Bachelor of Science in Computer Science,Campus,4 years,"$15,722/year (in-state); $49,922/year (out-of-state)",Yes (Merit-based),3.4,(non-residents),No,TOEFL iBT 80 / IELTS 6.5,Strong mathematics and science background,https://catalogue.uci.edu/informationforprospectivestudents/expensestuitionandfees/,“Non-resident tuition applies to international students.”,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
17,"University of California, Irvine",USA,"Irvine, California",QS #307,Engineering,Bachelor of Science in Electrical Engineering,Campus,4 years,"$15,722/year (in-state); $49,922/year (out-of-state)",Yes (Merit-based),3.4,(non-residents),No,TOEFL iBT 80 / IELTS 6.5,Strong mathematics and science background,https://catalogue.uci.edu/informationforprospectivestudents/expensestuitionandfees/,“Non-resident tuition applies to international students.”,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
18,"University of California, Irvine",USA,"Irvine, California",QS #307,Engineering,Bachelor of Science in Mechanical Engineering,Campus,4 years,"$15,722/year (in-state); $49,922/year (out-of-state)",Yes (Merit-based),3.4,(non-residents),No,TOEFL iBT 80 / IELTS 6.5,Strong mathematics and science background,https://catalogue.uci.edu/informationforprospectivestudents/expensestuitionandfees/,“Non-resident tuition applies to international students.”,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
19,"University of California, Irvine",USA,"Irvine, California",QS #307,Engineering,Bachelor of Science in Civil Engineering,Campus,4 years,"$15,722/year (in-state); $49,922/year (out-of-state)",Yes (Merit-based),3.4,(non-residents),No,TOEFL iBT 80 / IELTS 6.5,Strong mathematics and science background,https://catalogue.uci.edu/informationforprospectivestudents/expensestuitionandfees/,“Non-resident tuition applies to international students.”,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
20,"University of California, Irvine",USA,"Irvine, California",QS #307,Engineering,Bachelor of Science in Chemical Engineering,Campus,4 years,"$15,722/year (in-state); $49,922/year (out-of-state)",Yes (Merit-based),3.4,(non-residents),No,TOEFL iBT 80 / IELTS 6.5,Strong mathematics and science background,https://catalogue.uci.edu/informationforprospectivestudents/expensestuitionandfees/,“Non-resident tuition applies to international students.”,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
21,"University of California, Irvine",USA,"Irvine, California",QS #307,IT,Bachelor of Science in Computer Science & Engineering,Campus,4 years,"$15,722/year (in-state); $49,922/year (out-of-state)",Yes (Merit-based),3.4,(non-residents),No,TOEFL iBT 80 / IELTS 6.5,Strong mathematics and science background,https://catalogue.uci.edu/informationforprospectivestudents/expensestuitionandfees/,“Non-resident tuition applies to international students.”,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
22,"University of California, Irvine",USA,"Irvine, California",QS #307,IT,Bachelor of Science in Computer Science & Software Engineering,Campus,4 years,"$15,722/year (in-state); $49,922/year (out-of-state)",Yes (Merit-based),3.4,(non-residents),No,TOEFL iBT 80 / IELTS 6.5,Strong mathematics and science background,https://catalogue.uci.edu/informationforprospectivestudents/expensestuitionandfees/,“Non-resident tuition applies to international students.”,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
23,"University of California, Irvine",USA,"Irvine, California",QS #307,IT,Bachelor of Science in Informatics,Campus,4 years,"$15,722/year (in-state); $49,922/year (out-of-state)",Yes (Merit-based),3.4,(non-residents),No,TOEFL iBT 80 / IELTS 6.5,Strong mathematics and science background,https://catalogue.uci.edu/informationforprospectivestudents/expensestuitionandfees/,“Non-resident tuition applies to international students.”,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
24,"University of California, Irvine",USA,"Irvine, California",QS #307,Business,Bachelor of Arts in Business Administration,Campus,4 years,"$15,722/year (in-state); $49,922/year (out-of-state)",Yes (Merit-based),3.4,(non-residents),No,TOEFL iBT 80 / IELTS 6.5,Strong academic background,https://catalogue.uci.edu/informationforprospectivestudents/expensestuitionandfees/,“Non-resident tuition applies to international students.”,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
25,"University of California, Irvine",USA,"Irvine, California",QS #307,Business,Bachelor of Arts in Business Economics,Campus,4 years,"$15,722/year (in-state); $49,922/year (out-of-state)",Yes (Merit-based),3.4,(non-residents),No,TOEFL iBT 80 / IELTS 6.5,Strong academic background,https://catalogue.uci.edu/informationforprospectivestudents/expensestuitionandfees/,“Non-resident tuition applies to international students.”,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
26,"University of California, Irvine",USA,"Irvine, California",QS #307,Business,Bachelor of Arts in Economics,Campus,4 years,"$15,722/year (in-state); $49,922/year (out-of-state)",Yes (Merit-based),3.4,(non-residents),No,TOEFL iBT 80 / IELTS 6.5,Strong academic background,https://catalogue.uci.edu/informationforprospectivestudents/expensestuitionandfees/,“Non-resident tuition applies to international students.”,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
27,"University of California, Irvine",USA,"Irvine, California",QS #307,Medicine,Bachelor of Science in Biological Sciences,Campus,4 years,"$15,722/year (in-state); $49,922/year (out-of-state)",Yes (Merit-based),3.4,(non-residents),No,TOEFL iBT 80 / IELTS 6.5,"Strong science background, pre-med advising",https://catalogue.uci.edu/informationforprospectivestudents/expensestuitionandfees/,“Non-resident tuition applies to international students.”,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
28,"University of California, Irvine",USA,"Irvine, California",QS #307,Medicine,Bachelor of Science in Biochemistry,Campus,4 years,"$15,722/year (in-state); $49,922/year (out-of-state)",Yes (Merit-based),3.4,(non-residents),No,TOEFL iBT 80 / IELTS 6.5,"Strong science background, pre-med advising",https://catalogue.uci.edu/informationforprospectivestudents/expensestuitionandfees/,“Non-resident tuition applies to international students.”,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
29,"University of California, Irvine",USA,"Irvine, California",QS #307,Medicine,Bachelor of Science in Public Health Sciences,Campus,4 years,"$15,722/year (in-state); $49,922/year (out-of-state)",Yes (Merit-based),3.4,(non-residents),No,TOEFL iBT 80 / IELTS 6.5,"Strong science background, pre-med advising",https://catalogue.uci.edu/informationforprospectivestudents/expensestuitionandfees/,“Non-resident tuition applies to international students.”,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
30,"University of California, Irvine",USA,"Irvine, California",QS #307,Medicine,Bachelor of Science in Nursing Sciences,Campus,4 years,"$15,722/year (in-state); $49,922/year (out-of-state)",Yes (Merit-based),3.4,(non-residents),No,TOEFL iBT 80 / IELTS 6.5,"Highly competitive, pre-nursing advising",https://catalogue.uci.edu/informationforprospectivestudents/expensestuitionandfees/,“Non-resident tuition applies to international students.”,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
32,Arizona State University,USA,"Tempe, Arizona",QS #173,Engineering,BS Computer Engineering,Campus,4 years,"$28,890 / year (intl)","Yes (merit-based, New American University Scholarship)",3,; typically top ‚Äì% of high school class,No,TOEFL iBT 80 / IELTS 6.5,"Strong math & science prep, engineering orientation",https://engineering.asu.edu/undergraduate/bs-computer-engineering/,"To earn a BS in Computer Engineering at ASU, students must complete college and department degree requirements.",02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
33,Arizona State University,USA,"Tempe, Arizona",QS #173,Engineering,BS Electrical Engineering,Campus,4 years,"$28,890 / year (intl)",Yes (merit-based),3,,No,TOEFL iBT 80 / IELTS 6.5,"Core and lab coursework, ABET accreditation",https://engineering.asu.edu/undergraduate/bs-electrical-engineering/,"To earn a BS in Electrical Engineering at ASU, students must complete college and department requirements.",02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
34,Arizona State University,USA,"Tempe, Arizona",QS #173,Engineering,BS Mechanical Engineering,Campus,4 years,"$28,890 / year (intl)",Yes (merit-based),3,,No,TOEFL iBT 80 / IELTS 6.5,"Design, thermodynamics, and materials coursework",https://engineering.asu.edu/undergraduate/bs-mechanical-engineering/,"To earn a BS in Mechanical Engineering at ASU, students complete department and college degree requirements.",02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
35,Arizona State University,USA,"Tempe, Arizona",QS #173,IT,BS Computer Science,Campus,4 years,"$28,890 / year (intl)",Yes (merit-based),3,Minimum,No,TOEFL iBT 80 / IELTS 6.5,"Core CS courses, software development, algorithms",https://newcollege.asu.edu/bachelors-degrees/majorinfo/ESCSEBA/undergrad/false/437,BS Computer Science curriculum includes core CS principles and applications.,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
36,Arizona State University,USA,"Tempe, Arizona",QS #173,Business,Bachelor of Business Administration (BBA),Campus,4 years,"$28,890 / year (intl)","Yes (merit-based, college scholarships)",3,+,No,TOEFL iBT 80 / IELTS 6.5,"Personal statement, extracurriculars, college degree requirements",https://wpcarey.asu.edu/undergraduate/bba,"ASU BBA students gain skills in accounting, finance, marketing, and management.",02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
37,Arizona State University,USA,"Tempe, Arizona",QS #173,Medicine,BS Biological Sciences (pre-med),Campus,4 years,"$28,890 / year (intl)","Yes (merit-based, department scholarships)",3,,No,TOEFL iBT 80 / IELTS 6.5,"Pre-med advising; must complete prerequisites in biology, chemistry, physics, and social sciences",https://eoss.asu.edu/biosciences,Pre-med students can major in Biological Sciences while completing pre-med prerequisites.,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
38,Arizona State University,USA,"Tempe, Arizona",QS #173,Medicine,BS Biochemistry,Campus,4 years,"$28,890 / year (intl)","Yes (merit-based, departmental scholarships)",3,,No,TOEFL iBT 80 / IELTS 6.5,Strong foundation for pre-med; lab-intensive coursework,https://newcollege.asu.edu/undergraduate/biochemistry,BS Biochemistry prepares students for medical school or graduate programs.,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
39,Arizona State University,USA,"Tempe, Arizona",QS #173,Medicine,BS Applied Biological Sciences,Campus,4 years,"$28,890 / year (intl)","Yes (merit-based, department scholarships)",3,Minimum,No,TOEFL iBT 80 / IELTS 6.5,Research experience with faculty mentor or approved internship required,https://degrees.apps.asu.edu/bachelors/major/ASU00/TSABSABS/applied-biological-sciences-applied-biological-sciences,Applied Biological Sciences program offers comprehensive foundation in biology and related sciences.,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
40,Arizona State University,USA,"Tempe, Arizona",QS #173,Engineering,BS Civil Engineering,Campus,4 years,"$28,890 / year (intl)",Yes (merit-based),3,,No,TOEFL iBT 80 / IELTS 6.5,"Core courses in structures, materials, and environmental engineering",https://engineering.asu.edu/undergraduate/bs-civil-engineering/,BS Civil Engineering program prepares students for careers in infrastructure and construction.,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
41,Arizona State University,USA,"Tempe, Arizona",QS #173,Engineering,BS Industrial Engineering,Campus,4 years,"$28,890 / year (intl)",Yes (merit-based),3,,No,TOEFL iBT 80 / IELTS 6.5,"Focus on systems optimization, logistics, and manufacturing processes",https://engineering.asu.edu/undergraduate/bs-industrial-engineering/,BS Industrial Engineering program emphasizes efficiency and productivity in various industries.,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
42,Arizona State University,USA,"Tempe, Arizona",QS #173,Engineering,BS Software Engineering,Campus,4 years,"$28,890 / year (intl)",Yes (merit-based),3,,No,TOEFL iBT 80 / IELTS 6.5,"Curriculum includes software development, testing, and project management",https://engineering.asu.edu/undergraduate/bs-software-engineering/,BS Software Engineering program focuses on developing high-quality software solutions.,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
43,Arizona State University,USA,"Tempe, Arizona",QS #173,Engineering,BS Computer Systems Engineering,Campus,4 years,"$28,890 / year (intl)",Yes (merit-based),3,,No,TOEFL iBT 80 / IELTS 6.5,Combines computer science and electrical engineering principles,https://engineering.asu.edu/undergraduate/bs-computer-systems-engineering/,BS Computer Systems Engineering program prepares students for careers in embedded systems and hardware design.,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
44,Arizona State University,USA,"Tempe, Arizona",QS #173,Engineering,BS Aerospace Engineering,Campus,4 years,"$28,890 / year (intl)",Yes (merit-based),3,,No,TOEFL iBT 80 / IELTS 6.5,"Courses in aerodynamics, propulsion, and avionics",https://engineering.asu.edu/undergraduate/bs-aerospace-engineering/,BS Aerospace Engineering program prepares students for careers in aviation and space exploration.,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
45,Arizona State University,USA,"Tempe, Arizona",QS #173,Engineering,BS Chemical Engineering,Campus,4 years,"$28,890 / year (intl)",Yes (merit-based),3,,No,TOEFL iBT 80 / IELTS 6.5,"Curriculum includes chemical processes, thermodynamics, and materials science",https://engineering.asu.edu/undergraduate/bs-chemical-engineering/,BS Chemical Engineering program focuses on the development and optimization of chemical processes.,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
46,Arizona State University,USA,"Tempe, Arizona",QS #173,Engineering,BS Biomedical Engineering,Campus,4 years,"$28,890 / year (intl)",Yes (merit-based),3,,No,TOEFL iBT 80 / IELTS 6.5,"Courses in biomechanics, biomaterials, and medical device design",https://engineering.asu.edu/undergraduate/bs-biomedical-engineering/,BS Biomedical Engineering program prepares students for careers in healthcare technology.,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
47,Arizona State University,USA,"Tempe, Arizona",QS #173,Engineering,BS Environmental Engineering,Campus,4 years,"$28,890 / year (intl)",Yes (merit-based),3,,No,TOEFL iBT 80 / IELTS 6.5,"Curriculum includes environmental chemistry, water resources, and pollution control",https://engineering.asu.edu/undergraduate/bs-environmental-engineering/,BS Environmental Engineering program focuses on sustainable solutions to environmental challenges.,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
48,Arizona State University,USA,"Tempe, Arizona",QS #173,Engineering,BS Construction Engineering,Campus,4 years,"$28,890 / year (intl)",Yes (merit-based),3,,No,TOEFL iBT 80 / IELTS 6.5,"Courses in construction management, structural analysis, and project planning",https://engineering.asu.edu/undergraduate/bs-construction-engineering/,BS Construction Engineering program prepares students for careers in the construction industry.,02/10/2025,TOEFL iBT 80 / IELTS 6.5,7
49,Arizona State University,USA,"Tempe, Arizona",QS #173,Engineering,BS Industrial Design,Campus,4 years,"$28,890 / year (intl)",Yes (merit-based),3,,No,TOEFL iBT 80 / IELTS 6.5,"Curriculum includes product design, ergonomics, and user experience research",https://design.asu.edu/undergraduate/bs-industrial-design/,BS Industrial Design program,,TOEFL iBT 80 / IELTS 6.5,7
50,University of Houston,USA,"Houston, Texas",QS #556,Engineering,BS Chemical Engineering,Campus,4 years,"In-state ~$13,050/yr; Out-of-state ~$31,000/yr",Yes (Cullen College scholarships; department awards; merit scholarships),3,(math/science rigor expected),No,TOEFL iBT 79 / IELTS 6.5 / Duolingo 105 / PTE 53,"Specializations include biochemical, petroleum, materials, process engineering.",https://www.chbe.uh.edu/prospective-undergrad,“The Bachelor of Science in Chemical Engineering at the University of Houston prepares graduates… Students specialize in one of six areas…”,02/10/2025,TOEFL iBT 79 / IELTS 6.5,7
51,University of Houston,USA,"Houston, Texas",QS #556,Engineering,BS Mechanical Engineering,Campus,4 years,"In-state ~$13,050/yr; Out-of-state ~$31,000/yr",Yes (departmental & college scholarships; merit-based awards),3,,No,TOEFL iBT 79 / IELTS 6.5 / Duolingo 105 / PTE 53,"Capstone projects; labs; career prep in aerospace, biomedical, energy, manufacturing.",https://www.uh.edu/engineering/mechanical/undergraduate/,"“The BSME program provides students with a strong foundation in mechanics, design, and thermal sciences…”",02/10/2025,TOEFL iBT 79 / IELTS 6.5,7
52,University of Houston,USA,"Houston, Texas",QS #556,Engineering,BS Biotechnology,Campus,4 years,"In-state ~$13,050/yr; Out-of-state ~$31,000/yr",Yes (engineering scholarships; departmental aid).,3,,No,TOEFL iBT 79 / IELTS 6.5 / Duolingo 105 / PTE 53,Two tracks: Bioprocessing & Bioinformatics.,https://dot.egr.uh.edu/programs/undergraduate/biotechnology,“Strong core science concepts and an application-oriented undergraduate education… Two curriculum tracks…”,02/10/2025,TOEFL iBT 79 / IELTS 6.5,7
53,University of Houston,USA,"Houston, Texas",QS #556,Engineering,BS Computer Engineering Technology,Campus,4 years,"In-state ~$13,050/yr; Out-of-state ~$31,000/yr",Yes (engineering scholarships; merit-based awards).,3,,No,TOEFL iBT 79 / IELTS 6.5 / Duolingo 105 / PTE 53,Applications-focused degree in microcomputer systems.,https://dot.egr.uh.edu/programs/undergraduate/computer-engineering-technology,"“The goal of the Computer Engineering Technology program is to provide students with a high-quality, applications-oriented undergraduate education…”",02/10/2025,TOEFL iBT 79 / IELTS 6.5,7
54,University of Houston,USA,"Houston, Texas",QS #556,Business,BS Retailing and Consumer Science,Campus / Online,4 years,"In-state ~$13,050/yr; Out-of-state ~$31,000/yr","Yes (College of Technology, business merit scholarships).",3,,No,TOEFL iBT 79 / IELTS 6.5.,"Focus on consumer-oriented business, retailing, entrepreneurship, sales, e-tailing.",https://dot.egr.uh.edu/programs/undergraduate/Retailing-And-Consumer-Science,"“Retailing and Consumer Science… focuses on consumer-oriented business practices in the fields of retailing, technology entrepreneurship, e-tailing…”",02/10/2025,TOEFL iBT 79 / IELTS 6.5,7
55,University of Houston,USA,"Houston, Texas",QS #556,Business,BS Computer Engineering & Analytics,Campus (Katy),4 years,"In-state ~$13,050/yr; Out-of-state ~$31,000/yr","Yes (merit scholarships, EAA awards, Cullen College aid).",3,,No,TOEFL iBT 79 / IELTS 6.5.,Blends computer engineering and data analytics.,https://www.uh.edu/katy/degree-programs/,“Computer Engineering & Analytics BS… combines computer engineering and data science.”,02/10/2025,TOEFL iBT 79 / IELTS 6.5,7
56,University of Houston,USA,"Houston, Texas",QS #556,Medicine,HonorsMed (Pre-Med Pathway),Campus,4 years undergrad + med school,"In-state ~$13,050/yr; Out-of-state ~$31,000/yr (undergrad; med school separate)",Yes (Honors scholarships; UH merit aid).,3.5,Must maintain  ; MCAT required for med progression,Yes,TOEFL iBT 79 / IELTS 6.5.,Conditional acceptance pathway to UH College of Medicine.,https://m.uh.edu/honors/Programs-Minors/curricular-programs/honors-med/index.php,“HonorsMed provides students with a conditional acceptance pathway to medical school…”,02/10/2025,TOEFL iBT 79 / IELTS 6.5,7
57,University of Houston,USA,"Houston, Texas",QS #556,Medicine,BS Exercise Science (Health Professions Option),Campus,4 years,"In-state ~$13,050/yr; Out-of-state ~$31,000/yr",Yes (College of Liberal Arts scholarships).,3,,No,TOEFL iBT 79 / IELTS 6.5.,Designed for pre-physical therapy and other allied health careers.,https://www.uh.edu/class/hhp/undergrad-programs/kinesiology-exercise-science/index.php,“Degree plan designed to prepare students for post-graduate professional programs in health professions…”,02/10/2025,TOEFL iBT 79 / IELTS 6.5,7
58,University of Houston,USA,"Houston, Texas",QS #556,Medicine,BS Human Nutrition and Foods (Nutrition & Fitness / Nutritional Sciences tracks),Campus,4 years,"In-state ~$13,050/yr; Out-of-state ~$31,000/yr",Yes (nutrition & health scholarships; pre-health merit awards).,3,,No,TOEFL iBT 79 / IELTS 6.5.,"Tracks for pre-med, dental, pharmacy, optometry.",https://www.uh.edu/class/hhp/undergrad-programs/nutrition/,"“The Nutritional Sciences track is designed to prepare students for medical, dental, optometry, pharmacy, etc.”",02/10/2025,TOEFL iBT 79 / IELTS 6.5,7
59,University of Houston,USA,"Houston, Texas",QS #556,Medicine,"BS Health (Public Health, Health Promotion, Allied Health tracks)",Campus,4 years,"In-state ~$13,050/yr; Out-of-state ~$31,000/yr",Yes (College of Education scholarships; UH merit aid).,3,,No,TOEFL iBT 79 / IELTS 6.5.,"Three tracks: Public Health, Health Promotion, Health Promotion for Allied Health.",https://uh.edu/education/degree-programs/health-bs/,“Offering three degree tracks: public health; health promotion; and health promotion for allied health professionals.”,02/10/2025,TOEFL iBT 79 / IELTS 6.5,7
